"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"EVTC","Evertec Inc. Common Stock","Puerto Rico","2013","Technology","37.94"
"EXLS","ExlService Holdings Inc. Common Stock","United States","2006","Technology","142.19"
"EXR","Extra Space Storage Inc Common Stock","United States","2004","Real Estate","178.2"
"EZGO","EZGO Technologies Ltd. Ordinary Shares","China","2021","Consumer Discretionary","0.83"
"FAMI","Farmmi Inc. Ordinary Shares","China","2018","Consumer Staples","1.27"
"FANG","Diamondback Energy Inc. Commmon Stock","United States","2012","Energy","152.02"
"FANH","Fanhua Inc. American Depositary Shares","China","2007","Finance","5.13"
"FB","Meta Platforms Inc. Class A Common Stock","United States","2012","Technology","193.64"
"FCN","FTI Consulting Inc. Common Stock","United States","1999","Consumer Discretionary","168"
"FDP","Fresh Del Monte Produce Inc. Common Stock","Cayman Islands","1997","Consumer Staples","25.54"
"FDS","FactSet Research Systems Inc. Common Stock","United States","2000","Finance","381.78"
"FENG","Phoenix New Media Limited American Depositary Shares each representing 48 Class A ordinary shares.","China","2011","Industrials","3.45"
"FFHL","Fuwei Films (Holdings) Co. Ltd. Ordinary Shares","China","2006","Industrials","5.27"
"FFIV","F5 Inc. Common Stock","United States","1999","Technology","163.04"
"FISV","Fiserv Inc. Common Stock","United States","1986","Consumer Discretionary","100.18"
"FIVE","Five Below Inc. Common Stock","United States","2012","Consumer Discretionary","130.59"
"FIVN","Five9 Inc. Common Stock","United States","2014","Technology","96.71"
"FIX","Comfort Systems USA Inc. Common Stock","United States","1997","Industrials","89.72"
"FLEX","Flex Ltd. Ordinary Shares","Singapore","1994","Technology","17.07"
"FLT","FleetCor Technologies Inc. Common Stock","United States","2010","Technology","248.81"
"FN","Fabrinet Ordinary Shares","Cayman Islands","2010","Utilities","86.87"
"FRLN","Freeline Therapeutics Holdings plc American Depositary Shares","United Kingdom","2020","Health Care","0.77"
"FSI","Flexible Solutions International Inc. Common Stock (CDA)","Canada","2002","Consumer Discretionary","2.41"
"FTNT","Fortinet Inc. Common Stock","United States","2009","Technology","294.14"
"FUTU","Futu Holdings Limited American Depositary Shares","Hong Kong","2019","Finance","36.71"
"FWP","Forward Pharma A/S American Depositary Shares","Denmark","2014","Health Care","5.35"
"G","Genpact Limited Common Stock","Bermuda","2007","Consumer Discretionary","44.37"
"GAN","GAN Limited Ordinary Shares","United Kingdom","2020","Technology","3.37"
"GASS","StealthGas Inc. Common Stock","Greece","2005","Consumer Discretionary","2.83"
"GBRG","Goldenbridge Acquisition Limited Ordinary Shares","Hong Kong","2021","Finance","10.14"
"GBRGR","Goldenbridge Acquisition Limited Right","Hong Kong","2021","Finance","0.13"
"GBRGW","Goldenbridge Acquisition Limited Warrant","Hong Kong","2021","Finance","0.08"
"GDS","GDS Holdings Limited ADS","China","2016","Technology","27.99"
"GIL","Gildan Activewear Inc. Class A Sub. Vot. Common Stock","Canada","2000","Consumer Discretionary","31.48"
"GLBE","Global-E Online Ltd. Ordinary Shares","Israel","2021","Technology","19.27"
"GLG","TD Holdings Inc. Common Stock","China","2013","Technology","0.18"
"GLMD","Galmed Pharmaceuticals Ltd. Ordinary Shares","Israel","2014","Health Care","0.51"
"GLPG","Galapagos NV American Depositary Shares","Belgium","2015","Health Care","55.01"
"GLRE","Greenlight Capital Re Ltd. Class A Ordinary Shares","Cayman Islands","2007","Finance","7.82"
"GLTO","Galecto Inc. Common Stock","Denmark","2020","Health Care","1.31"
"GMAB","Genmab A/S ADS","Denmark","2019","Health Care","30.25"
"GMDA","Gamida Cell Ltd. Ordinary Shares","Israel","2018","Health Care","2.18"
"GME","GameStop Corporation Common Stock","United States","2002","Consumer Discretionary","124.74"
"GNFT","GENFIT S.A. American Depositary Shares","France","2019","Health Care","3.59"
"GNRC","Generac Holdlings Inc. Common Stock","United States","2010","Consumer Discretionary","247.08"
"GOL","Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares","Brazil","2004","Consumer Discretionary","6.09"
"GOOG","Alphabet Inc. Class C Capital Stock","United States","2004","Technology","2280.78"
"GOOGL","Alphabet Inc. Class A Common Stock","United States","2004","Technology","2275.24"
"GPI","Group 1 Automotive Inc. Common Stock","United States","1997","Consumer Discretionary","179.59"
"GPOR","Gulfport Energy Corporation Common Shares","United States","2021","Energy","96.75"
"GPRK","Geopark Ltd Common Shares","Bermuda","2014","Energy","16.77"
"GRCL","Gracell Biotechnologies Inc. American Depositary Shares","China","2021","Health Care","3.29"
"GRCY","Greencity Acquisition Corporation Ordinary Shares","China","2020","Finance","10.45"
"GRCYU","Greencity Acquisition Corporation Unit","China","2020","Finance","10.4"
"GRCYW","Greencity Acquisition Corporation Warrants","China","2020","Finance","0.07"
"GRMN","Garmin Ltd. Common Stock (Switzerland)","Switzerland","2000","Industrials","105.62"
"GRVY","GRAVITY Co. Ltd. American Depository Shares","South Korea","2005","Consumer Discretionary","60.24"
"GS","Goldman Sachs Group Inc. (The) Common Stock","United States","1999","Finance","326.85"
"GSLD","Global Ship Lease Inc. 8.00% Senior Notes due 2024","United Kingdom","2019","Consumer Discretionary","25.95"
"GSMG","Glory Star New Media Group Holdings Limited Ordinary Share","China","2018","Technology","0.75"
"GSMGW","Glory Star New Media Group Holdings Limited Warrant expiring 2/13/2025","China","2018","Technology","0.01"
"GTEC","Greenland Technologies Holding Corporation Ordinary Shares","China","2018","Industrials","3.75"
"GTH","Genetron Holdings Limited ADS","China","2020","Health Care","1.39"
"GTLS","Chart Industries Inc. Common Stock","United States","2006","Technology","175.88"
"H","Hyatt Hotels Corporation Class A Common Stock","United States","2009","Consumer Discretionary","88.39"
"HAPP","Happiness Development Group Limited Class A Ordinary Shares","China","2019","Consumer Discretionary","0.17"
"HCA","HCA Healthcare Inc. Common Stock","United States","2011","Health Care","210.4"
"HCM","HUTCHMED (China) Limited American Depositary Shares","Hong Kong","2016","Health Care","10.52"
"HDB","HDFC Bank Limited Common Stock","India","2001","Finance","57.57"
